"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Exports of goods and services (annual % growth)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Exports of goods and services (annual % growth)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","-2.76230267082792","-3.4593329056291","7.02078937416989","6.51620981608465","-9.17859176022222","-1.08886308103676","4.78270503950868","0.968875796120528","1.30249305708088","0.00206622170520632","1.30289925528324","2.75761674364554","-0.910087454055713","-4.35057501304854","-2.14583664711331","5.9626337299657","7.68834300450243","3.60775001884673","7.90324911790677","8.41952684905831","3.37937763681086","9.64871141766837","28.0057492009575","0.205400439553372","5.75671029613645","7.4128324364863","10.5018960341536","6.56830542950635","7.50805851966525","9.69789268811925","11.4873165542932","7.79535627650783","-3.79239440423633","7.02613079560608","-38.9191751704565","-15.4391452523667","5.91684758872175","6.69701831884804","-1.17552724710731","-2.05350679910478","1.11109997715182","1.94317652505418","-2.2866416697392","-9.89011563876224","9.61583114628633","11.3981680915165","3.47645778608342","1.30502300164879","",
"Afghanistan","AFG","Exports of goods and services (annual % growth)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.24332933103564","18.6125162428067","-12.1079479040833","","",
"Africa Western and Central","AFW","Exports of goods and services (annual % growth)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Exports of goods and services (annual % growth)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.30000000000024","13.0900000000002","22.9299999999998","14.2900000000002","16.5601871365338","10.6198235081809","-2.65051889226325","-2.37893216527195","-5.12410134021513","5.19986450927941","-1.17390076671524","0.704632326641615","2.00000000000009","-18.3955246223303","-4.00000000000004","-17.3955437659707","-16.2756429430839","-7.9999999999999","-1.99999999999993","4.37270081192213","-26.2561892883574","1.50749616326058","",
"Albania","ALB","Exports of goods and services (annual % growth)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.5828531261344","-18.2745043507087","33.833480981746","73.0967957895076","38.8812984839359","15.4561613554149","3.5523666753469","11.7732511279745","18.4838664060318","24.2668564177305","16.9274273635671","19.1122012763883","-4.62556706108955","4.71153337805501","19.1935791437219","6.67409512981436","0.293588275390633","1.58899617671256","-0.169636687451657","-2.25254023391722","7.57276906101264","12.9646313708102","4.46629089537305","2.4800752980137","-27.7255430085865","52.0973691827291","17.0424879813874","8.5541025992228","0.10972760496233","",
"Andorra","AND","Exports of goods and services (annual % growth)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (annual % growth)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.226988629468565","14.9872664574451","11.3605554175829","8.47643985560818","6.71093207343851","5.59830730412783","7.19889364386061","-6.32492988482939","9.5205174125514","-11.1110382978181","8.54006922745052","1.62077637345041","-0.324120566926737","1.87233134255382","2.92047011483945","4.43724822499136","5.215255711149","-0.606578310835928","-8.02753721316313","4.06044306141654","13.6329264680433","4.76478645247876","","",
"United Arab Emirates","ARE","Exports of goods and services (annual % growth)","NE.EXP.GNFS.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.15040873722816","22.9101961292845","24.5443845778458","11.4822553747325","11.5312446725109","8.83206540009569","12.4352245847308","-4.29925555993508","6.25981032110805","16.0662242305144","15.6651707544653","7.06098995250419","4.12697653022774","2.72546732662016","5.21396566217214","-0.319116771189471","1.68171160541537","0.751709033400132","3.84884085148971","4.08141295943298","8.4595729576229","6.87975755487554","","",
"Argentina","ARG","Exports of goods and services (annual % growth)","NE.EXP.GNFS.KD.ZG","","-10.6385917355775","45.2384632340366","0","-8.19666133364947","8.92850026232637","16.3934313365593","0","-7.04215598889746","21.2120723743181","1.20010411876612","-9.93094420365617","2.02958608360994","13.9785899922328","0.235738441573631","-9.2941585255204","31.5176565526492","27.317771938281","8.90726991607747","-3.20050013520199","-5.1428624049782","5.20390651074788","3.94655240583394","2.58260584774649","-2.59149777144786","15.5540238484381","-10.2703411884969","-3.48199917023786","18.7195656086271","7.43032372210975","18.011603252764","-3.62414435995726","-1.02969443918937","3.98319867911239","15.2955689817863","22.5281446861923","7.64679488927655","12.1774408238905","10.6233930631356","-1.26027793880733","2.70239130860458","2.74099076017254","3.09295518587496","5.99536820219664","8.11415798951984","12.8868304227088","5.56120323520517","8.16445191719141","0.73987446873889","-9.3471064312958","13.8969136234784","4.14881478412255","-4.10831132628213","-3.52024034290045","-6.97916743435549","-2.77737294006695","5.31735410754007","2.61539095219052","0.645996251439556","9.75102540356465","-17.4377108754675","8.45304479532243","4.55692873309846","-9.47966739653542","19.8041140748027","",
